Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
ArcelorMittal Bremen (blast furnace gas),2185868,2713278,2515126,2845273,2322631,2481393,2463056,1751452,2519316,2473406,Germany,Other Fossil Fuel,ArcelorMittal Bremen GmbH,57,53.139791,8.7120512
Duisburg Hamborn (blast furnace gas),3026552,3021687,3183100,4396101,3625702,3556180,2286362,2214436,3105846,2470829,Germany,Other Fossil Fuel,ThyssenKrupp Steel Europe AG,58,51.4913158,6.7408265
Stabilimento di Brindisi,2135679,1982785,2091170,2371378,2426577,2432711,2552877,2587649,2622785,2428705,Italy,Gas,ENI,59,40.6304046,17.9567946
Turceni,4169782,4476006,4454326,4159951,4429457,4069124,3296552,2238437,2400383,2425145,Romania,Lignite,CE Oltenia SA,60,44.674076,23.374199
Steel Kosice,,,,,3210899,3310057,2451745,2218053,3115335,2424065,Slovakia,Other Fossil Fuel,Ferroenergy s.r.o.,61,48.6228046,21.1924367
Patnow II,2532137,2488611,2350415,2027837,2605436,2454232,2450404,2402875,2207942,2241205,Poland,Lignite,ZEPAK,62,52.3047997,18.2318854
Jaworzno 2,,,,,,,0,217472,1478110,2176044,Poland,Hard Coal,Tauron,63,50.2117014,19.2257322
Staudinger,2561945,900297,2182690,2427352,1889339,1583274,1151748,924225,1012282,2094305,Germany,Hard Coal,Uniper,64,50.0877398,8.9564233
Hamborn Block 5 (blast furnace gas),2681646,2808185,3270199,2559445,2832910,2587692,3143109,2468646,2406635,2066398,Germany,Other Fossil Fuel,thyssenkrupp AG,65,51.4913158,6.7408265
Bergkamen,3471635,2945802,2744777,2823880,1639651,1586512,704134,348234,849908,1989681,Germany,Hard Coal,STEAG GmbH,66,51.6388949,7.6164638
EAC Vasilikos,1405691,1674982,1807252,1926291,1814494,1858807,2043605,1590057,1894022,1946384,Cyprus,Oil,Electricity Authority of Cyprus,67,34.7022123,33.0564103
Priolo Gargallo,3111732,2677710,1929216,2284352,1944689,1795868,1702483,1679929,207880,1915412,Italy,Oil,ERG Group,68,37.1551993,15.1913663
Heilbronn,4132820,3284784,3178511,2388302,2394697,2712379,1338801,637633,2110585,1914021,Germany,Hard Coal,EnBW Energie Baden-Württemberg AG,69,49.17108,9.2079503
Kladno,1595278,1898636,1913422,2055719,1880986,1938676,1832446,1750027,1744353,1890018,Czechia,Lignite,Alpiq Generation,70,50.1523196,14.1254808
Duisburg Hamborn - heat,1990393,1901911,2204317,2070524,2001687,1948081,1999936,1976698,1481644,1872039,Germany,Other Fossil Fuel,ThyssenKrupp Steel Europe AG,71,51.4913158,6.7408265
Granadilla,1734852,1811929,1765415,1814723,1913517,1869570,1755493,1719243,1737194,1857529,Spain,Oil,"Unión Eléctrica de Canarias Generación, S.A.U.",72,28.1222699,-16.5768911
Zeran,2488481,2273446,2324804,2303302,2339049,2224942,2171620,2096514,2090497,1844832,Poland,Hard Coal,PGNiG,73,52.2930197,20.9985763
San Filippo del Mela,1235924,1269134,2004529,1142812,1222687,688926,728325,657769,1347418,1838449,Italy,Oil,A2A,74,38.1919238,15.2851315
Brazi CCGT,1021941,472717,976156,1069561,967559,1396196,1256180,1535651,1749063,1812460,Romania,Gas,S.C. OMV Petrom S.A.,75,44.8743876,25.9843438
Eisenhüttenstadt (blast furnace gas),2045766,1840240,2157850,1873277,2245648,2140988,1940315,1847902,1734143,1807700,Germany,Other Fossil Fuel,Vulkan Energiewirtschaft Oderbrücke GmbH,76,52.1611794,14.6288292
Vresova,4096236,4098901,4280672,4399928,4203405,4104374,3875256,3264758,2237283,1795724,Czechia,Lignite,Sokolovská Uhelná AS,77,50.2588355,12.6909007
Ravenna,1797794,1585969,1692476,1732616,1820084,1709384,1860452,1810142,1922386,1793923,Italy,Gas,ENI,78,44.4431986,12.2315129
Zavod 4 (blast furnace gas),2489107,2439936,2209436,2374980,2252840,2393464,1931885,1649122,2040795,1784768,Czechia,Other Fossil Fuel,TAMEH Czech,79,49.7963502,18.3031154
Los Barrios,2530651,2678793,3499191,2228648,2916517,2841694,630376,5866,0,1767510,Spain,Hard Coal,Viesgo,80,37.9752754,-1.2368537
Rostock,2416047,2577847,2339152,2636984,2335824,1845401,1728202,911345,2075837,1736087,Germany,Hard Coal,KNG Kraftwerks- und Netzgesellschaft mbH,81,54.141205,12.12918
Mantova,1706590,1645805,1690474,1696798,1715695,1760131,1649394,1757055,1863085,1719020,Italy,Gas,ENI,82,45.145166,10.833619
Pego,50525,2681,221916,417620,1326524,742714,851369,1092531,1163308,1716911,Portugal,Gas,Elecgas,83,39.4617794,-8.1496242
Hannover,1703428,1723873,1726850,1667128,1590978,1630746,1209372,1057616,1354944,1697240,Germany,Hard Coal,GKH - Gemeinschaftskraftwerk Hannover GmbH,84,52.4206915,9.6491001
Wilhelmshaven New,101548,1169342,2656618,1069696,2114040,1938111,1398848,553554,1920025,1686872,Germany,Hard Coal,Riverstone Holdings,85,53.579168,8.1326971
Torviscosa,863690,842847,813640,1475758,1618362,1398816,1420371,1256689,1142591,1663817,Italy,Gas,EDF,86,45.8232717,13.2750484
Krakow,1866960,1747087,1782340,1909684,1775841,1721648,1574257,1564982,1855058,1658417,Poland,Hard Coal,PGE,87,50.0539198,20.0033562
Herne,2624660,2690803,2654608,2173726,1531134,1311527,1132980,851369,1250147,1658165,Germany,Hard Coal,STEAG GmbH,88,51.5477034,7.1809944
Berlin-Reuter West,2870812,3036494,2976143,2531294,2491619,2151083,1577107,1608847,1564208,1637895,Germany,Hard Coal,Vattenfall Wärme Berlin Aktiengesellschaft,89,52.5337203,13.2405928
Soto de Ribera,1066475,1356362,2925818,1052051,1414336,1005791,63661,49254,836299,1610976,Spain,Hard Coal,EDP,90,43.3079305,-5.8786815
Melnik I,1866481,1560120,1568591,1715349,1628608,1321799,1178214,1347209,1563087,1597233,Czechia,Lignite,CEZ,91,50.4244054,14.3899391
Catagena,856250,847233,633350,182429,881640,821244,1074788,1190226,1126696,1595629,Spain,Gas,Naturgy,92,37.5777608,-0.9166755
Cordemais,4640915,2575315,2135950,1686878,3791336,2806223,542030,623638,2394059,1592537,France,Hard Coal,EDF,93,47.2778366,-1.8750965
Barranco Tirajana,1621311,1615295,1595005,1596866,1670626,1620654,1616721,1672082,1580228,1590817,Spain,Oil,"Unión Eléctrica de Canarias Generación, S.A.U.",94,27.8089386,-15.4483623
Ostiglia,954093,600516,886466,936149,1420979,1029338,1033479,1445605,1795088,1576767,Italy,Gas,EPH,95,45.0700949,11.1363594
Di La Casella,301770,178471,227543,1054820,972223,639191,817264,1169731,1844305,1572812,Italy,Gas,ENEL,96,45.063925,9.49995
Megalopolis 4,,,,,,1418379,2098608,980450,1760385,1550842,Greece,Lignite,ΔΕΗ,97,37.9858646,23.7254201
Ijmond (blast furnace gas),2014494,2115650,1984210,2149598,1719252,2028012,1751361,1725331,1738870,1541031,Netherlands,Other Fossil Fuel,Vattenfall,98,52.4715238,4.6343695
Třinecké železárny (blast furnace gas),1818359,1830527,1819211,1842539,1560783,1577655,1571869,1545462,1507125,1540047,Czechia,Other Fossil Fuel,TZ-MS Group,99,49.6842696,18.6485017
Altbach/Deizisau,3106423,2115746,1661245,1919622,1250276,1260650,1009162,722621,1184730,1536543,Germany,Hard Coal,EnBW Energie Baden-Württemberg AG,100,48.7206095,9.3764345
Tavazzano e Montanaso,1370519,770212,917761,713204,1214383,1230505,1539099,1400500,1649336,1536227,Italy,Gas,EPH,101,45.3296279,9.4413614
Lagisza,3025406,2496824,2912395,2061954,1869428,2268234,1174996,2292443,1563538,1519337,Poland,Hard Coal,Tauron,102,50.3499392,19.1407479
Palos de la Frontera,551711,228857,68466,25677,150146,88604,13427,157647,656974,1468073,Spain,Gas,Naturgy,103,37.2288942,-6.8954258
Opatovice,2218701,2115475,1467416,1792259,1967695,1919466,1405208,1455373,1691752,1466281,Czechia,Lignite,EPH,104,50.1454119,15.7904532
Castejón - Total,146017,155410,299646,495092,534402,258020,796694,607181,1115046,1450843,Spain,Gas,Total,105,42.1717973,-1.6870303
Martigues,207941,189226,356500,1156074,1485060,904596,1428184,1065455,894344,1446231,France,Gas,EDF,106,43.3529663,5.0281758
Tapada do Outeiro,250434,368045,792808,1004750,1456566,1501817,1286601,1287959,1441014,1443087,Portugal,Gas,ENGIE,107,41.0669346,-8.4595716
Ludwigshafen BASF power plant,1557719,1788544,1704339,1671529,1616377,1696921,1577742,1613588,1674130,1433907,Germany,Gas,BASF SE,108,49.496315,8.4272839
Soto de Ribera,124128,124826,149191,145934,269388,233966,808628,925742,965472,1417365,Spain,Gas,EDP,109,43.3181689,-5.8751124
Zolling-Leininger,2022675,1778371,1740813,1639527,1502946,1237777,929686,848136,1378945,1411172,Germany,Hard Coal,Electrabel S.A.,110,48.4561795,11.8001059
Simeri Crichi,907648,945955,1026183,1237800,1476170,1417549,1634511,1147394,1346222,1392859,Italy,Gas,EDF,111,38.9097919,16.5876516
Sulcis,1425100,1647503,1294280,678378,1073462,1001390,1151839,1237383,1570620,1389885,Italy,Hard Coal,Enel,112,39.2063711,8.4047163
Heyden,4130190,2189322,2757365,3004101,1977821,1744340,645248,901613,323231,1382813,Germany,Hard Coal,Uniper,113,52.3791254,8.995984
Emsland (Lingen),732680,395063,568913,1691666,1694185,1184094,1933788,2120000,1389004,1369575,Germany,Gas,RWE,114,52.4825534,7.2996426
Sagunto,1281611,1390482,1361509,1180410,1028194,981925,934738,776064,728348,1358419,Spain,Gas,Naturgy,115,39.6801121,-0.2784001
Termini Imerese,1007273,961813,1469910,1025238,655518,592752,652402,712157,1023532,1327576,Italy,Gas,ENEL,116,37.9694719,13.7452086
Esbjerg,2045749,1448072,875783,1212705,767819,1066679,714748,1008034,1185226,1322885,Denmark,Hard Coal,Ørsted,117,55.4561578,8.4551076
Kardia,8905278,8548594,8870729,5589447,6397011,5791829,2870188,1967960,1313180,1320265.219,Greece,Lignite,ΔΕΗ,118,40.4480165,21.8158699
Wolfsburg West,1610447,1841809,1847361,1797455,1721936,1688622,1668927,1514435,1503809,1310553,Germany,Hard Coal,VOLKSWAGEN AKTIENGESELLSCHAFT,119,52.4340092,10.7715825
Simmering 1+2,682695,675066,840781,774776,955809,817246,1389140,1098758,1148493,1296502,Austria,Gas,Wien Energie Group,120,48.1824612,16.4291853
Mytilineos CCGT,1165202,1179691,1187290,1218625,1198554,1197688,1215094,1260158,1272331,1296053,Greece,Gas,Mytilineos,121,38.3732116,22.681062
Plomin,2185593,2152115,2030760,2255311,1230803,1157607,1349361,1021767,1221356,1295151,Croatia,Hard Coal,HEP d.d.,122,45.1356611,14.1698663
Hanasaari B,912810,1061223,715833,1268514,1419097,1270179,1303017,973419,817383,1289923,Finland,Hard Coal,Helen,123,60.1836667,24.970467
Wedel,1285391,1335907,1400122,1329048,1137334,1170198,1112347,1091469,1040344,1269879,Germany,Hard Coal,Wärme Hamburg GmbH,124,53.5692572,9.7245776
Bahía de Algeciras,383,13889,173498,452645,825970,229524,1236840,1038549,849362,1268729,Spain,Gas,Repsol,125,36.1811812,-5.3857755
Amorebieta,67948,72426,297317,253659,355611,224741,824858,646850,729705,1248404,Spain,Gas,"BIZKAIA ENERGIA, SLU",126,43.24006,-2.7496725
Gdansk 2,1139261,1059728,1088560,1185401,1236591,1234900,1198825,1174873,1335356,1246791,Poland,Hard Coal,PGE,127,54.3778939,18.6431568
As Pontes,113205,148627,76297,192158,556520,296796,735230,49523,802210,1225482,Spain,Hard Coal,ENEL,128,43.456565,-7.8884881
Eemscentrale,1623948,1928255,1583206,2208214,1966312,1765883,2111706,1755764,1354285,1224977,Netherlands,Gas,ENGIE,129,53.436836,6.8796322
Bremen-Farge,1691001,1326328,1463745,961333,1259810,1176893,542513,353086,879703,1222480,Germany,Hard Coal,Electrabel S.A.,130,53.2018162,8.517071
Maximacentrale,1418476,1376803,1233567,1346260,1164623,1292504,1842058,1789174,949882,1221772,Netherlands,Gas,ENGIE,131,52.5757241,5.5293933
Hamburg-Tiefstack,1332735,1274327,1295279,1296112,1213337,1174604,1069564,1115818,1122807,1213015,Germany,Hard Coal,Wärme Hamburg GmbH,132,53.5261971,10.0674369
Munich North,2032478,1754452,1902717,1827049,1701489,1346205,1462508,881022,971094,1194901,Germany,Hard Coal,SWM Services GmbH,133,48.1803797,11.6403235
Eemshaven,734257,610042,585059,1262111,1597508,1555658,2563489,2246606,1285081,1190899,Netherlands,Gas,Vattenfall,134,53.4514511,6.8542156
Wroclaw,1167706,1072081,1081987,1197061,1167224,1185847,1128363,1098963,1201177,1189414,Poland,Hard Coal,PGE,135,51.1248883,17.0256632
Bouchain,,,,678457,1061463,910716,989767,843138,1046180,1187726,France,Gas,EDF,136,50.2701791,3.3110008
Ribatejo,96209,100451,290989,626115,945110,869142,930435,875259,785806,1185427,Portugal,Gas,EDP,137,39.0068029,-8.9529687
