Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
Kraftwerk Timelkam,28882,2847,174692,213716,356994,267204,413197,189604,212143,338012,Austria,Hard Coal,Energie AG Group,369,48.0125971,13.5917491
Paroseni,917448,884101,832470,420620,339424,298473,153808,124897,324416,333429,Romania,Hard Coal,CE Hunedoara SA,370,45.3658986,23.268842
Waehlitz,311188,312204,319041,302299,332791,241998,317400,220576,145842,332819,Germany,Lignite,Mitteldeutsche Braunkohlengesellschaft mbH,371,51.0879105,12.0954003
Tychy,105609,67591,64889,255502,422857,426764,351331,284543,380025,330464,Poland,Hard Coal,Tauron,372,50.1051648,19.0156653
Quierschied-Weiher,2094265,1513206,1678832,1355318,408420,24624,47980,73995,95403,329586,Germany,Hard Coal,STEAG GmbH,373,49.3359659,7.0314235
Otrokovice,370211,345960,358228,369609,364468,365686,328663,273534,280815,328676,Czechia,Lignite,LAMA ENERGY GROUP,374,49.2049756,17.5194214
Blachownia Generation Plant,429441,419491,401237,395544,468196,470628,407091,400958,398863,325544,Poland,Other Fossil Fuel,Grupa Azoty,375,50.3114784,18.2472156
Högdalen,249698,316126,320489,280087,251907,247527,258975,271266,312371,324730,Sweden,Other Fossil Fuel,Stockholm Exergi AB,376,59.2578909,18.0607422
Seinäjoen,375954,338553,352564,401488,327285,624945,415897,300596,366156,321528,Finland,Other Fossil Fuel,EPV Energy,377,62.7382903,22.822839
Stromerzeugung (blast furnace gas),300727,357072,357982,335582,371706,390643,376119,345164,352656,318601,Germany,Other Fossil Fuel,DK Recycling und Roheisen GmbH,378,51.4215531,6.7415852
Lucca Paper Mill power plant,339647,335700,312833,292340,326715,314252,308957,311328,313220,313636,Italy,Other Fossil Fuel,DS Smith,379,43.8246195,10.6117808
Progresu,379647,367635,357747,421767,412101,408991,435267,517626,402135,311747,Romania,Gas,SC Electrocentrala Bucuresti SA,380,44.3700296,26.1040238
Czestochowa,218689,300332,341676,338163,249717,305586,255276,266985,291344,310608,Poland,Hard Coal,Fortum,381,50.7946418,19.1437908
Keljonlahden,336542,302682,364686,267182,225067,344633,243105,204805,205698,307719,Finland,Other Fossil Fuel,Jyväskylä Energia,382,62.2144968,25.8904728
Etablissement de Montoir-de-Bretagne,264058,96046,336740,597866,652266,290292,779989,612755,527702,307513,France,Gas,ENGIE,383,47.305552,-2.070538
Heizkraftwerk Sandreuth,400222,343798,374374,390652,382418,368943,355133,344388,391102,302970,Germany,Gas,N-ERGIE Kraftwerke Gesellschaft mit beschränkter Haftung,384,49.4354133,11.0597508
Ruse Iztok,533613,588025,430510,441850,360596,248927,182341,167770,242322,301483,Bulgaria,Hard Coal,Toplofikacia Ruse AD,385,43.8698608,26.0290155
Cogeneración la Rábida,323783,309580,282312,283949,299726,309003,304414,300399,296438,298509,Spain,Other Fossil Fuel,"Generación Eléctrica Peninsular, S.A.",386,37.19983,-6.9348
Chania,350335,383326,377968,411221,441267,445901,504684,404810,309680,298272,Greece,Gas,ΔΕΗ,387,35.3465828,25.045338
Tarbert Generating Station,16035,11938,18257,43382,13517,44853,129904,194511,485972,297905,Ireland,Oil,SSE,388,52.5725966,-9.3751312
Vazzio,433466,368981,425312,304069,340704,279687,303936,220635,257455,295890,France,Oil,EDF,389,41.9310644,8.7771172
Borsodchem power station,270762,257714,252402,285753,286072,296881,304176,296657,313029,294107,Hungary,Other Fossil Fuel,BorsodChem Group,390,48.248534,20.647853
Lavera power station,321757,166239,398536,377895,333801,238706,246420,259801,75596,293981,France,Gas,LAVERA ENERGIES SNC,391,43.3812134,5.0702794
